,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,katsuura,75,JP,1562533541,88,33.93,134.5,71.6,3.36
1,punta arenas,75,CL,1562533546,87,-53.16,-70.91,42.8,5.82
2,thompson,75,CA,1562533494,31,55.74,-97.86,77.0,6.93
3,barrow,100,AR,1562533559,68,-38.31,-60.23,49.42,10.78
4,ohangaron,0,UZ,1562533832,50,40.91,69.65,77.0,6.93
5,hasaki,75,JP,1562533540,93,35.73,140.83,64.4,18.34
6,den helder,20,NL,1562533833,58,52.96,4.76,57.99,12.75
7,townsville,75,AU,1562533833,94,-19.26,146.82,68.0,6.93
8,torbay,20,CA,1562533540,60,47.66,-52.73,75.99,16.11
9,cape town,40,ZA,1562533542,87,-33.93,18.42,57.99,11.41
10,mandalgovi,100,MN,1562533626,76,45.76,106.27,58.56,9.17
11,yellowknife,75,CA,1562533291,58,62.45,-114.38,55.4,9.17
12,khasan,2,RU,1562533834,96,42.43,130.64,57.83,1.41
13,hobart,75,AU,1562533262,87,-42.88,147.33,42.8,10.29
14,mataura,100,NZ,1562533534,78,-46.19,168.86,43.0,18.01
15,upernavik,9,GL,1562533536,64,72.79,-56.15,44.9,10.27
16,rikitea,100,PF,1562533542,78,-23.12,-134.97,72.32,36.69
17,dongsheng,100,CN,1562533549,88,29.72,112.52,72.57,2.82
18,juneau,1,US,1562533834,47,58.3,-134.42,78.8,8.05
19,ushuaia,0,AR,1562533277,92,-54.81,-68.31,35.6,4.7
20,ust-nera,0,RU,1562533834,54,64.57,143.24,55.77,3.06
21,namatanai,95,PG,1562533835,85,-3.66,152.44,78.51,16.42
22,maloy,59,ID,1562533835,98,1.0,118.1,73.88,1.83
23,nanortalik,40,GL,1562533549,52,60.14,-45.24,50.88,13.6
24,busselton,40,AU,1562533540,77,-33.64,115.35,53.01,15.08
25,jamestown,0,AU,1562533535,89,-33.21,138.6,43.93,2.62
26,nordby,75,DK,1562533835,81,55.45,8.41,55.4,6.93
27,new norfolk,75,AU,1562533553,87,-42.78,147.06,42.8,10.29
28,albany,40,US,1562533534,30,42.65,-73.75,82.99,5.82
29,nha trang,20,VN,1562533622,79,12.24,109.19,84.2,2.57
30,avarua,94,CK,1562533533,61,-21.21,-159.78,77.0,16.11
31,salalah,40,OM,1562533836,88,17.01,54.1,82.4,5.82
32,tuktoyaktuk,90,CA,1562533534,87,69.44,-133.03,42.8,6.93
33,dunedin,100,NZ,1562533836,64,-45.87,170.5,44.01,25.99
34,brae,100,GB,1562533596,76,60.4,-1.35,50.0,13.87
35,olga,40,US,1562533836,60,34.11,-118.17,81.0,10.0
36,fairbanks,90,US,1562533592,49,64.84,-147.72,78.01,6.93
37,ribeira grande,75,PT,1562533566,94,38.52,-28.7,71.6,9.17
38,hilo,75,US,1562533533,54,19.71,-155.08,86.0,15.26
39,natal,20,BR,1562533564,78,-5.81,-35.21,78.8,9.17
40,acajutla,100,SV,1562533837,67,13.59,-89.83,85.46,8.19
41,norman wells,75,CA,1562533576,58,65.28,-126.83,55.4,12.75
42,margate,75,AU,1562533837,87,-43.03,147.26,42.8,10.29
43,bredasdorp,67,ZA,1562533560,76,-34.53,20.04,57.99,5.82
44,mahebourg,75,MU,1562533607,83,-20.41,57.7,71.6,5.99
45,cherskiy,81,RU,1562533548,46,68.75,161.3,67.37,14.47
46,nombre de dios,75,MX,1562533838,28,23.85,-104.24,84.0,3.36
47,vanimo,100,PG,1562533543,78,-2.67,141.3,80.06,10.07
48,louis trichardt,0,ZA,1562533838,17,-23.04,29.91,53.47,5.64
49,malayal,89,PH,1562533838,76,7.21,121.94,82.83,8.88
50,hermanus,36,ZA,1562533541,79,-34.42,19.24,57.99,7.0
51,kapaa,1,US,1562533547,66,22.08,-159.32,84.2,14.99
52,mar del plata,100,AR,1562533332,72,-46.43,-67.52,41.95,3.42
53,kozan,40,TR,1562533839,88,37.45,35.82,80.01,5.82
54,tasiilaq,0,GL,1562533561,53,65.61,-37.64,51.8,6.93
55,henties bay,0,NA,1562533619,92,-22.12,14.28,53.01,1.01
56,iqaluit,75,CA,1562533553,48,63.75,-68.52,62.6,4.7
57,sabzevar,0,IR,1562533626,27,36.21,57.68,77.12,12.39
58,dikson,5,RU,1562533556,92,73.51,80.55,32.79,16.06
59,qaanaaq,96,GL,1562533536,57,77.48,-69.36,44.72,2.98
60,kurunegala,20,LK,1562533839,88,7.49,80.36,80.6,4.7
61,tautira,20,PF,1562533840,66,-17.73,-149.15,84.2,4.7
62,constitucion,75,MX,1562533550,28,23.99,-104.67,82.99,3.36
63,riyadh,0,SA,1562533499,8,24.63,46.72,100.4,2.24
64,carnarvon,29,ZA,1562533550,73,-30.97,22.13,44.78,8.61
65,atuona,100,PF,1562533552,76,-9.8,-139.03,79.86,16.6
66,cidreira,24,BR,1562533550,84,-30.17,-50.22,45.62,2.98
67,waipawa,26,NZ,1562533609,82,-39.94,176.59,50.0,3.0
68,sao filipe,36,CV,1562533598,82,14.9,-24.5,72.84,12.44
69,santa isabel do rio negro,97,BR,1562533840,94,-0.41,-65.02,79.05,2.98
70,warmbad,48,DE,1562533550,51,50.67,13.08,61.0,10.29
71,dalbandin,0,PK,1562533841,13,28.9,64.41,85.06,10.2
72,rioja,89,PE,1562533661,98,-6.06,-77.17,52.88,4.09
73,saint-pierre,0,FR,1562533570,72,48.95,4.24,64.0,10.29
74,kaitangata,100,NZ,1562533560,64,-46.28,169.85,42.01,11.99
75,saldanha,44,PT,1562533841,65,41.42,-6.55,68.28,9.15
76,lebu,75,ET,1562533572,82,8.96,38.73,60.8,3.36
77,yarensk,96,RU,1562533841,92,62.17,49.09,54.08,5.28
78,bluff,100,AU,1562533541,80,-23.58,149.07,60.8,12.17
79,sitka,43,US,1562533561,59,37.17,-99.65,86.0,5.99
80,victoria,75,BN,1562533599,83,5.28,115.24,82.4,3.22
81,rio verde de mato grosso,0,BR,1562533842,43,-18.92,-54.84,60.96,4.72
82,san cristobal,82,HN,1562533599,52,14.68,-86.92,83.78,9.44
83,oktyabrskoye,0,RU,1562533842,87,56.73,85.44,62.01,8.95
84,saskylakh,90,RU,1562533622,83,71.97,114.09,48.57,2.15
85,kaitong,19,CN,1562533842,66,44.81,123.15,71.61,4.38
86,kavieng,23,PG,1562533558,71,-2.57,150.8,83.21,7.43
87,coahuayana,29,MX,1562533616,53,18.62,-100.35,90.39,2.19
88,aklavik,75,CA,1562533553,66,68.22,-135.01,51.8,3.36
89,saint-philippe,1,CA,1562533546,29,45.36,-73.48,79.0,8.21
90,nouadhibou,2,MR,1562533578,77,20.93,-17.03,69.8,20.8
91,laguna,40,BZ,1562533629,74,16.17,-88.94,87.8,9.17
92,east london,7,ZA,1562533539,74,-33.02,27.91,50.21,8.61
93,cockburn town,0,TC,1562533843,78,21.46,-71.14,81.98,16.62
94,college,75,US,1562533843,46,64.86,-147.8,78.01,8.05
95,yerbogachen,0,RU,1562533844,89,61.28,108.01,57.3,5.3
96,port blair,100,IN,1562533844,81,11.67,92.75,83.87,19.3
97,mount isa,75,AU,1562533571,77,-20.73,139.49,64.4,4.7
98,tiksi,100,RU,1562533478,73,71.64,128.87,43.59,5.99
99,portland,20,US,1562533540,47,43.66,-70.25,82.0,8.05
100,tahe,0,CN,1562533844,93,52.34,124.71,58.71,3.42
101,sur,2,OM,1562533845,51,22.57,59.53,86.86,10.16
102,cherdakly,33,RU,1562533845,81,54.36,48.84,53.6,4.47
103,motygino,81,RU,1562533845,83,58.18,94.69,56.91,2.66
104,taoudenni,0,ML,1562533577,14,22.68,-3.98,101.66,15.64
105,caxhuacan,75,MX,1562533845,56,20.06,-97.61,93.2,6.93
106,ekhabi,100,RU,1562533846,94,53.51,142.97,48.41,8.28
107,cabo san lucas,90,MX,1562533343,35,22.89,-109.91,98.01,8.05
108,tuatapere,100,NZ,1562533572,78,-46.13,167.69,43.0,18.01
109,saint george,0,GR,1562533538,51,39.45,22.34,80.6,2.73
110,balabac,52,PH,1562533846,78,7.99,117.06,80.58,3.06
111,puerto ayora,20,EC,1562533544,58,-0.74,-90.35,82.4,9.17
112,port alfred,0,ZA,1562533544,80,-33.59,26.89,57.99,5.01
113,kavaratti,6,IN,1562533575,79,10.57,72.64,84.16,19.08
114,abu kamal,0,SY,1562533559,23,34.45,40.92,86.93,12.75
115,ilulissat,20,GL,1562533564,43,69.22,-51.1,55.4,4.7
116,vestmannaeyjar,0,IS,1562533847,75,63.44,-20.27,55.02,18.84
117,hofn,100,IS,1562533603,94,64.25,-15.21,37.92,4.92
118,lompoc,87,US,1562533579,60,34.64,-120.46,70.0,10.29
119,butaritari,100,KI,1562533543,84,3.07,172.79,80.43,12.66
120,kendal,0,ID,1562533847,79,-6.92,110.2,71.94,2.64
121,dudinka,20,RU,1562533594,87,69.41,86.18,46.4,24.61
122,ciudad bolivar,100,VE,1562533847,67,8.12,-63.55,86.05,2.13
123,harper,1,US,1562533619,46,30.3,-99.24,93.99,9.17
124,terrasini,0,IT,1562533848,58,38.15,13.08,84.99,4.7
125,ponta do sol,0,BR,1562533587,54,-20.63,-46.0,54.3,4.85
126,wynyard,95,AU,1562533848,96,-40.99,145.73,48.0,1.01
127,hithadhoo,3,MV,1562533500,79,-0.6,73.08,83.53,16.13
128,bethel,1,US,1562533475,60,60.79,-161.76,77.0,12.75
129,vaini,50,IN,1562533556,86,15.34,74.49,78.54,10.31
130,mount gambier,40,AU,1562533628,93,-37.83,140.78,42.8,9.17
131,bambous virieux,75,MU,1562533539,83,-20.34,57.76,71.6,5.99
132,sawtell,75,AU,1562533613,100,-30.38,153.1,55.4,3.36
133,havelock,40,US,1562533849,62,34.88,-76.9,89.6,17.22
134,hami,0,CN,1562533849,36,42.84,93.51,74.84,13.91
135,mackenzie,75,CA,1562533849,47,55.34,-123.09,75.2,10.29
136,hambantota,0,LK,1562533536,82,6.12,81.12,82.49,18.66
137,klaksvik,14,FO,1562533627,93,62.23,-6.59,48.2,9.17
138,svarstad,0,NO,1562533850,87,59.4,9.97,57.99,4.7
139,miraflores,0,PE,1562533850,10,-16.39,-71.52,71.6,10.29
140,boende,100,CD,1562533850,94,-0.28,20.88,72.48,1.7
141,zhangye,72,CN,1562533850,53,38.94,100.46,57.34,1.99
142,minot,75,US,1562533646,48,48.23,-101.3,84.2,16.11
